Name,Allegiances,Death Year,Book of Death,Death Chapter,Book Intro Chapter,Gender,Nobility,GoT,CoK,SoS,FfC,DwD
Wallen,Wildling,298,1,37,37,1,0,1,0,0,0,0
Walton,None,,,,64,1,0,0,1,1,0,1
Wat (orphan),None,,,,37,1,0,0,0,0,1,0
Wat (sailor),None,,,,34,1,0,0,0,0,1,0
Watt,Night's Watch,299,3,75,69,1,0,0,0,1,0,0
Watty,None,,,,39,1,0,0,0,1,0,0
Waymar Royce,Night's Watch,297,1,0,0,1,1,1,0,0,0,0
Wayn (guard),House Stark,,,,37,1,0,1,0,0,0,0
Weasel,None,,,,9,0,0,0,1,0,0,0
Weeper,Wildling,,,,7,1,1,0,0,1,0,0
Weese,Lannister,299,2,38,26,1,0,0,1,0,0,0
Wendel Manderly,Stark,299,3,51,55,1,1,1,1,1,0,0
Wendello Qar Deeth,None,,,,40,1,1,0,1,0,0,0
Werlag,House Greyjoy,299,2,66,37,1,0,0,1,0,0,0
Wex Pyke,Stark,,,,24,1,0,0,1,0,0,1
Whalen Frey,None,,,,59,1,1,1,0,1,0,0
Wilbert,Stark,298,3,29,29,1,0,0,0,1,0,0
Will,Night's Watch,297,1,0,0,1,0,1,0,0,0,0
Will (orphan),None,,,,37,1,0,0,0,0,1,0
Willam Wells,Martell,300,5,6,6,1,0,0,0,0,0,1
Willem Lannister,House Lannister,299,3,20,19,1,1,0,0,1,0,0
William Mooton,Tully,,,,14,1,1,0,0,0,1,0
Willis Wode,Arryn,,,,31,1,1,1,0,0,0,0
Willit,Lannister,,,,65,1,0,0,1,0,0,0
Willow Witch-eye,Wildling,300,5,69,37,0,0,0,0,0,0,1
Willum,Tully,,,,43,1,0,1,0,0,0,0
Woth,Night's Watch,299,2,14,14,1,0,0,1,0,0,0
Wulfe,House Greyjoy,,,,29,1,0,0,0,0,1,1
Wun Weg Wun Dar Wun,Wildling,,,,35,1,0,0,0,0,0,1
Wyl (guard),House Stark,298,1,35,35,1,0,1,0,0,0,0
Wyl the Whittler,None,299,3,34,34,1,0,0,0,1,0,0
Wylis Manderly,Stark,,,,55,1,1,1,1,0,1,0
Wylla Manderly,Stark,,,,19,0,1,0,0,0,0,1
Wyman Manderly,Stark,,,,16,1,1,0,1,0,0,1
Wynafryd Manderly,Stark,,,,19,1,1,0,0,0,0,1
Wynton Stout,Night's Watch,,,,41,1,0,0,0,1,0,0
Xaro Xhoan Daxos,None,,,,12,1,1,0,1,0,0,1
Xhondo,None,,,,26,1,0,0,0,0,1,0
Yandry,House Targaryen,,,,8,1,0,0,0,0,0,1
Yellow Dick,None,300,5,46,12,1,0,0,0,0,0,1
Ygon Farwynd,Greyjoy,,,,19,1,1,0,0,0,1,0
Ygritte,Wildling,299,3,55,51,0,0,0,1,1,0,0
Yohn Farwynd,Greyjoy,,,,19,1,1,0,0,0,1,0
Yohn Royce,Arryn,,,,29,1,1,1,0,0,1,0
Yoren,Night's Watch,299,2,19,13,1,0,1,1,0,0,0
Young Henly,Night's Watch,299,3,55,55,1,0,0,0,1,0,0
Ysilla,House Targaryen,,,,8,1,0,0,0,0,0,1
Zei,Stark,,,,64,0,0,0,0,1,0,0
Zollo,None,,,,21,1,0,0,0,1,0,0
Yurkhaz zo Yunzak,None,300,5,59,47,1,0,0,0,0,0,1
Yezzan Zo Qaggaz,None,300,5,57,25,1,1,0,0,0,0,1
Torwynd the Tame,Wildling,300,5,73,73,1,0,0,0,1,0,0
Talbert Serry,Tyrell,300,4,29,29,1,1,0,0,0,1,0
